,Trial-ID,Status,Iteration,batch_size,conv1,conv2,h1,h2,kernel1,kernel2,lr,Objective
92,47,INTERMEDIATE,1,2048.0,9.0,1.0,20.0,6.0,7.0,5.0,0.0062113553030023645,0.7652529856392586
93,47,COMPLETED,1,2048.0,9.0,1.0,20.0,6.0,7.0,5.0,0.0062113553030023645,0.7652529856392586
94,48,INTERMEDIATE,1,2048.0,9.0,7.0,38.0,44.0,3.0,5.0,0.0076201876364049865,0.8544237805436982
95,48,COMPLETED,1,2048.0,9.0,7.0,38.0,44.0,3.0,5.0,0.0076201876364049865,0.8544237805436982
96,49,INTERMEDIATE,1,512.0,3.0,7.0,18.0,44.0,5.0,7.0,0.025875089387234648,1.2912086459370353
97,49,COMPLETED,1,512.0,3.0,7.0,18.0,44.0,5.0,7.0,0.025875089387234648,1.2912086459370353
98,50,INTERMEDIATE,1,1024.0,7.0,2.0,39.0,41.0,3.0,2.0,0.027888122771315967,0.8985459807022028
99,50,COMPLETED,1,1024.0,7.0,2.0,39.0,41.0,3.0,2.0,0.027888122771315967,0.8985459807022028
100,51,INTERMEDIATE,1,512.0,6.0,7.0,36.0,36.0,5.0,3.0,0.030371407913385034,1.0004771050908339
101,51,COMPLETED,1,512.0,6.0,7.0,36.0,36.0,5.0,3.0,0.030371407913385034,1.0004771050908339
102,52,INTERMEDIATE,1,1024.0,6.0,8.0,47.0,3.0,6.0,7.0,0.012581646115549475,1.0159268938413644
103,52,COMPLETED,1,1024.0,6.0,8.0,47.0,3.0,6.0,7.0,0.012581646115549475,1.0159268938413644
104,53,INTERMEDIATE,1,512.0,5.0,1.0,60.0,19.0,4.0,5.0,0.0078972292746636,0.9748959816203839
105,53,COMPLETED,1,512.0,5.0,1.0,60.0,19.0,4.0,5.0,0.0078972292746636,0.9748959816203839
106,54,INTERMEDIATE,1,2048.0,6.0,9.0,56.0,61.0,5.0,4.0,0.005726399490627564,0.8760221020489196
107,54,COMPLETED,1,2048.0,6.0,9.0,56.0,61.0,5.0,4.0,0.005726399490627564,0.8760221020489196
108,55,INTERMEDIATE,1,2048.0,2.0,7.0,56.0,63.0,6.0,6.0,0.04734505221356115,1.3440382336340086
109,55,COMPLETED,1,2048.0,2.0,7.0,56.0,63.0,6.0,6.0,0.04734505221356115,1.3440382336340086
110,56,INTERMEDIATE,1,512.0,4.0,4.0,27.0,48.0,2.0,2.0,0.03152133736365763,0.9117605018939713
111,56,COMPLETED,1,512.0,4.0,4.0,27.0,48.0,2.0,2.0,0.03152133736365763,0.9117605018939713
