,Trial-ID,Status,Iteration,hidden,hidden1_pm,hidden1_stator,hidden2_pm,hidden2_stator,input_rec,lr,output_rec,window,Objective
125,63,COMPLETED,1,29.0,6.0,16.0,13.0,3.0,1.0,0.01,0.0,14.0,0.016208424781707705
126,64,INTERMEDIATE,1,36.0,13.0,8.0,13.0,19.0,0.0,0.01,0.0,1.0,0.017364526509507802
127,64,COMPLETED,1,36.0,13.0,8.0,13.0,19.0,0.0,0.01,0.0,1.0,0.017364526509507802
128,65,INTERMEDIATE,1,36.0,5.0,12.0,4.0,9.0,0.0,0.01,-1.0,1.0,0.016927412608632005
129,65,COMPLETED,1,36.0,5.0,12.0,4.0,9.0,0.0,0.01,-1.0,1.0,0.016927412608632005
130,66,INTERMEDIATE,1,39.0,5.0,3.0,15.0,19.0,0.0,0.01,0.0,2.0,0.014901371420160854
131,66,COMPLETED,1,39.0,5.0,3.0,15.0,19.0,0.0,0.01,0.0,2.0,0.014901371420160854
132,67,INTERMEDIATE,1,33.0,6.0,20.0,4.0,20.0,0.0,0.01,-1.0,1.0,0.017601025315715044
133,67,COMPLETED,1,33.0,6.0,20.0,4.0,20.0,0.0,0.01,-1.0,1.0,0.017601025315715044
134,68,INTERMEDIATE,1,36.0,4.0,13.0,3.0,14.0,1.0,0.01,-1.0,2.0,0.014759411350898201
135,68,COMPLETED,1,36.0,4.0,13.0,3.0,14.0,1.0,0.01,-1.0,2.0,0.014759411350898201
136,69,INTERMEDIATE,1,39.0,6.0,14.0,7.0,18.0,1.0,0.01,-1.0,2.0,0.014049146783875774
137,69,COMPLETED,1,39.0,6.0,14.0,7.0,18.0,1.0,0.01,-1.0,2.0,0.014049146783875774
138,70,INTERMEDIATE,1,32.0,9.0,10.0,7.0,20.0,1.0,0.01,0.0,7.0,0.015254194517133057
139,70,COMPLETED,1,32.0,9.0,10.0,7.0,20.0,1.0,0.01,0.0,7.0,0.015254194517133057
140,71,INTERMEDIATE,1,25.0,4.0,15.0,13.0,6.0,0.0,0.01,0.0,14.0,0.014816999732606851
141,71,COMPLETED,1,25.0,4.0,15.0,13.0,6.0,0.0,0.01,0.0,14.0,0.014816999732606851
142,72,INTERMEDIATE,1,32.0,8.0,10.0,8.0,20.0,1.0,0.01,0.0,9.0,0.016077887021021
143,72,COMPLETED,1,32.0,8.0,10.0,8.0,20.0,1.0,0.01,0.0,9.0,0.016077887021021
144,73,INTERMEDIATE,1,40.0,6.0,13.0,17.0,20.0,1.0,0.01,0.0,4.0,0.016942838347245706
145,73,COMPLETED,1,40.0,6.0,13.0,17.0,20.0,1.0,0.01,0.0,4.0,0.016942838347245706
146,74,INTERMEDIATE,1,38.0,18.0,9.0,20.0,20.0,1.0,0.01,-1.0,2.0,0.014965332194060143
147,74,COMPLETED,1,38.0,18.0,9.0,20.0,20.0,1.0,0.01,-1.0,2.0,0.014965332194060143
148,75,INTERMEDIATE,1,39.0,5.0,16.0,10.0,19.0,1.0,0.01,-1.0,3.0,0.014589582824475382
149,75,COMPLETED,1,39.0,5.0,16.0,10.0,19.0,1.0,0.01,-1.0,3.0,0.014589582824475382
150,76,INTERMEDIATE,1,40.0,5.0,4.0,19.0,13.0,0.0,0.01,-1.0,13.0,0.015528703283633405
151,76,COMPLETED,1,40.0,5.0,4.0,19.0,13.0,0.0,0.01,-1.0,13.0,0.015528703283633405
152,77,INTERMEDIATE,1,39.0,10.0,5.0,14.0,19.0,1.0,0.01,-1.0,3.0,0.014587137441086256
153,77,COMPLETED,1,39.0,10.0,5.0,14.0,19.0,1.0,0.01,-1.0,3.0,0.014587137441086256
154,78,INTERMEDIATE,1,38.0,18.0,7.0,19.0,19.0,1.0,0.01,0.0,2.0,0.01269244100058949
155,78,COMPLETED,1,38.0,18.0,7.0,19.0,19.0,1.0,0.01,0.0,2.0,0.01269244100058949
156,79,INTERMEDIATE,1,38.0,18.0,5.0,17.0,19.0,1.0,0.01,-1.0,4.0,0.01558669517712748
157,79,COMPLETED,1,38.0,18.0,5.0,17.0,19.0,1.0,0.01,-1.0,4.0,0.01558669517712748
158,80,INTERMEDIATE,1,36.0,7.0,6.0,11.0,20.0,1.0,0.01,-1.0,1.0,0.015922296063607153
159,80,COMPLETED,1,36.0,7.0,6.0,11.0,20.0,1.0,0.01,-1.0,1.0,0.015922296063607153
160,81,INTERMEDIATE,1,32.0,13.0,18.0,7.0,15.0,1.0,0.01,-1.0,1.0,0.017084956133911096
161,81,COMPLETED,1,32.0,13.0,18.0,7.0,15.0,1.0,0.01,-1.0,1.0,0.017084956133911096
162,82,INTERMEDIATE,1,36.0,5.0,4.0,18.0,17.0,0.0,0.01,0.0,1.0,0.013187812488007758
163,82,COMPLETED,1,36.0,5.0,4.0,18.0,17.0,0.0,0.01,0.0,1.0,0.013187812488007758
164,83,INTERMEDIATE,1,40.0,19.0,5.0,19.0,20.0,1.0,0.01,0.0,2.0,0.014061878006416803
165,83,COMPLETED,1,40.0,19.0,5.0,19.0,20.0,1.0,0.01,0.0,2.0,0.014061878006416803
166,84,INTERMEDIATE,1,24.0,3.0,14.0,13.0,7.0,0.0,0.01,0.0,15.0,0.019143345162581003
167,84,COMPLETED,1,24.0,3.0,14.0,13.0,7.0,0.0,0.01,0.0,15.0,0.019143345162581003
168,85,INTERMEDIATE,1,38.0,7.0,17.0,3.0,17.0,1.0,0.01,-1.0,3.0,0.013925919813589682
169,85,COMPLETED,1,38.0,7.0,17.0,3.0,17.0,1.0,0.01,-1.0,3.0,0.013925919813589682
170,86,INTERMEDIATE,1,36.0,3.0,8.0,20.0,10.0,0.0,0.01,-1.0,5.0,0.01378008954466431
171,86,COMPLETED,1,36.0,3.0,8.0,20.0,10.0,0.0,0.01,-1.0,5.0,0.01378008954466431
172,87,INTERMEDIATE,1,36.0,6.0,8.0,11.0,18.0,1.0,0.01,0.0,1.0,0.014463267359832114
173,87,COMPLETED,1,36.0,6.0,8.0,11.0,18.0,1.0,0.01,0.0,1.0,0.014463267359832114
174,88,INTERMEDIATE,1,33.0,5.0,5.0,19.0,17.0,1.0,0.01,0.0,2.0,0.014937465585966364
175,88,COMPLETED,1,33.0,5.0,5.0,19.0,17.0,1.0,0.01,0.0,2.0,0.014937465585966364
176,89,INTERMEDIATE,1,31.0,14.0,15.0,9.0,17.0,1.0,0.01,-1.0,4.0,0.018129578577730242
177,89,COMPLETED,1,31.0,14.0,15.0,9.0,17.0,1.0,0.01,-1.0,4.0,0.018129578577730242
178,90,INTERMEDIATE,1,34.0,4.0,5.0,18.0,15.0,1.0,0.01,0.0,4.0,0.013839352000724994
179,90,COMPLETED,1,34.0,4.0,5.0,18.0,15.0,1.0,0.01,0.0,4.0,0.013839352000724994
