,Trial-ID,Status,Iteration,batch_size,conv1,conv2,h1,h2,kernel1,kernel2,lr,Objective
103,52,COMPLETED,1,1024.0,2.0,7.0,30.0,62.0,6.0,3.0,0.006381257278036065,0.06053462410794031
104,53,INTERMEDIATE,1,512.0,8.0,6.0,51.0,23.0,4.0,5.0,0.016893749197391186,0.06288257735031785
105,53,COMPLETED,1,512.0,8.0,6.0,51.0,23.0,4.0,5.0,0.016893749197391186,0.06288257735031785
106,54,INTERMEDIATE,1,512.0,6.0,6.0,16.0,45.0,2.0,2.0,0.008153230237275332,0.049762525634716864
107,54,COMPLETED,1,512.0,6.0,6.0,16.0,45.0,2.0,2.0,0.008153230237275332,0.049762525634716864
108,55,INTERMEDIATE,1,1024.0,4.0,7.0,29.0,25.0,7.0,3.0,0.009105207056345729,0.07061342768419324
109,55,COMPLETED,1,1024.0,4.0,7.0,29.0,25.0,7.0,3.0,0.009105207056345729,0.07061342768419324
110,56,INTERMEDIATE,1,2048.0,7.0,8.0,31.0,18.0,6.0,3.0,0.01932563629343727,0.062140662617548824
111,56,COMPLETED,1,2048.0,7.0,8.0,31.0,18.0,6.0,3.0,0.01932563629343727,0.062140662617548824
112,57,INTERMEDIATE,1,1024.0,5.0,2.0,48.0,28.0,4.0,6.0,0.04765014624660995,0.053756558593913976
113,57,COMPLETED,1,1024.0,5.0,2.0,48.0,28.0,4.0,6.0,0.04765014624660995,0.053756558593913976
114,58,INTERMEDIATE,1,2048.0,5.0,7.0,20.0,18.0,4.0,3.0,0.04763274417319685,0.07183996788800727
115,58,COMPLETED,1,2048.0,5.0,7.0,20.0,18.0,4.0,3.0,0.04763274417319685,0.07183996788800727
116,59,INTERMEDIATE,1,2048.0,5.0,8.0,54.0,43.0,5.0,5.0,0.013067036973897814,0.05835950558969726
117,59,COMPLETED,1,2048.0,5.0,8.0,54.0,43.0,5.0,5.0,0.013067036973897814,0.05835950558969726
118,60,INTERMEDIATE,1,512.0,4.0,7.0,53.0,40.0,2.0,4.0,0.027919979876129576,0.06185496957688921
119,60,COMPLETED,1,512.0,4.0,7.0,53.0,40.0,2.0,4.0,0.027919979876129576,0.06185496957688921
120,61,INTERMEDIATE,1,2048.0,5.0,7.0,28.0,50.0,2.0,2.0,0.008461433819121933,0.045463745328210785
121,61,COMPLETED,1,2048.0,5.0,7.0,28.0,50.0,2.0,2.0,0.008461433819121933,0.045463745328210785
122,62,INTERMEDIATE,1,2048.0,7.0,6.0,18.0,45.0,2.0,3.0,0.0223738195023585,0.07116023100891238
123,62,COMPLETED,1,2048.0,7.0,6.0,18.0,45.0,2.0,3.0,0.0223738195023585,0.07116023100891238
124,63,INTERMEDIATE,1,2048.0,4.0,8.0,39.0,21.0,3.0,6.0,0.029108869602514492,0.08575320382441906
125,63,COMPLETED,1,2048.0,4.0,8.0,39.0,21.0,3.0,6.0,0.029108869602514492,0.08575320382441906
126,64,INTERMEDIATE,1,2048.0,3.0,8.0,20.0,18.0,3.0,5.0,0.034317175572139286,0.05613094364334083
127,64,COMPLETED,1,2048.0,3.0,8.0,20.0,18.0,3.0,5.0,0.034317175572139286,0.05613094364334083
128,65,INTERMEDIATE,1,1024.0,7.0,2.0,48.0,27.0,5.0,7.0,0.021062436303601655,0.06704182146547662
129,65,COMPLETED,1,1024.0,7.0,2.0,48.0,27.0,5.0,7.0,0.021062436303601655,0.06704182146547662
130,66,INTERMEDIATE,1,2048.0,5.0,7.0,28.0,50.0,2.0,2.0,0.01190994527079591,0.07269912261470575
131,66,COMPLETED,1,2048.0,5.0,7.0,28.0,50.0,2.0,2.0,0.01190994527079591,0.07269912261470575
132,67,INTERMEDIATE,1,512.0,9.0,2.0,26.0,31.0,4.0,4.0,0.01247122521796027,0.061843018697551384
133,67,COMPLETED,1,512.0,9.0,2.0,26.0,31.0,4.0,4.0,0.01247122521796027,0.061843018697551384
134,68,INTERMEDIATE,1,2048.0,6.0,3.0,47.0,28.0,4.0,6.0,0.016448419585540386,0.060713358118391465
135,68,COMPLETED,1,2048.0,6.0,3.0,47.0,28.0,4.0,6.0,0.016448419585540386,0.060713358118391465
136,69,INTERMEDIATE,1,512.0,6.0,2.0,60.0,56.0,2.0,4.0,0.02555990363368636,0.06563693787031813
137,69,COMPLETED,1,512.0,6.0,2.0,60.0,56.0,2.0,4.0,0.02555990363368636,0.06563693787031813
138,70,INTERMEDIATE,1,1024.0,3.0,6.0,53.0,40.0,2.0,6.0,0.04610139941763957,0.07580735865820229
139,70,COMPLETED,1,1024.0,3.0,6.0,53.0,40.0,2.0,6.0,0.04610139941763957,0.07580735865820229
140,71,INTERMEDIATE,1,512.0,9.0,8.0,44.0,59.0,4.0,6.0,0.02457107974259172,0.0582231020316851
141,71,COMPLETED,1,512.0,9.0,8.0,44.0,59.0,4.0,6.0,0.02457107974259172,0.0582231020316851
142,72,INTERMEDIATE,1,1024.0,9.0,3.0,33.0,19.0,7.0,6.0,0.03948426870931898,0.07520724943457384
143,72,COMPLETED,1,1024.0,9.0,3.0,33.0,19.0,7.0,6.0,0.03948426870931898,0.07520724943457384
144,73,INTERMEDIATE,1,1024.0,7.0,1.0,30.0,52.0,5.0,7.0,0.014999389567736002,0.063168768191651
145,73,COMPLETED,1,1024.0,7.0,1.0,30.0,52.0,5.0,7.0,0.014999389567736002,0.063168768191651
146,74,INTERMEDIATE,1,2048.0,5.0,7.0,53.0,42.0,6.0,4.0,0.011927439365703577,0.059564730868138786
147,74,COMPLETED,1,2048.0,5.0,7.0,53.0,42.0,6.0,4.0,0.011927439365703577,0.059564730868138786
148,75,INTERMEDIATE,1,1024.0,6.0,6.0,27.0,3.0,5.0,5.0,0.010962605086329551,0.05684906781124692
149,75,COMPLETED,1,1024.0,6.0,6.0,27.0,3.0,5.0,5.0,0.010962605086329551,0.05684906781124692
150,76,INTERMEDIATE,1,2048.0,8.0,6.0,55.0,11.0,5.0,6.0,0.006333379710013642,0.06772369924190806
151,76,COMPLETED,1,2048.0,8.0,6.0,55.0,11.0,5.0,6.0,0.006333379710013642,0.06772369924190806
152,77,INTERMEDIATE,1,1024.0,4.0,7.0,18.0,17.0,4.0,7.0,0.03192576479596672,0.06979170958602915
153,77,COMPLETED,1,1024.0,4.0,7.0,18.0,17.0,4.0,7.0,0.03192576479596672,0.06979170958602915
154,78,INTERMEDIATE,1,2048.0,9.0,9.0,41.0,46.0,5.0,3.0,0.005238418160285264,0.050982611380792145
