,Trial-ID,Status,Iteration,hidden,hidden1_pm,hidden1_stator,hidden2_pm,hidden2_stator,input_rec,lr,output_rec,window,Objective
140,71,INTERMEDIATE,1,33.0,4.0,7.0,7.0,18.0,1.0,0.01,0.0,18.0,0.02335608258913913
141,71,COMPLETED,1,33.0,4.0,7.0,7.0,18.0,1.0,0.01,0.0,18.0,0.02335608258913913
142,72,INTERMEDIATE,1,24.0,4.0,7.0,7.0,16.0,0.0,0.01,-1.0,8.0,0.021588730727445667
143,72,COMPLETED,1,24.0,4.0,7.0,7.0,16.0,0.0,0.01,-1.0,8.0,0.021588730727445667
144,73,INTERMEDIATE,1,34.0,3.0,6.0,3.0,20.0,1.0,0.01,0.0,16.0,0.018296145111465868
145,73,COMPLETED,1,34.0,3.0,6.0,3.0,20.0,1.0,0.01,0.0,16.0,0.018296145111465868
146,74,INTERMEDIATE,1,35.0,8.0,10.0,11.0,18.0,1.0,0.01,0.0,14.0,0.017690845960220705
147,74,COMPLETED,1,35.0,8.0,10.0,11.0,18.0,1.0,0.01,0.0,14.0,0.017690845960220705
148,75,INTERMEDIATE,1,36.0,9.0,6.0,5.0,18.0,0.0,0.01,0.0,13.0,0.0159914236507794
149,75,COMPLETED,1,36.0,9.0,6.0,5.0,18.0,0.0,0.01,0.0,13.0,0.0159914236507794
150,76,INTERMEDIATE,1,38.0,5.0,6.0,11.0,19.0,1.0,0.01,-1.0,13.0,0.053215997585877375
151,76,COMPLETED,1,38.0,5.0,6.0,11.0,19.0,1.0,0.01,-1.0,13.0,0.053215997585877375
152,77,INTERMEDIATE,1,34.0,6.0,9.0,4.0,20.0,0.0,0.01,-1.0,13.0,0.019471899911649104
153,77,COMPLETED,1,34.0,6.0,9.0,4.0,20.0,0.0,0.01,-1.0,13.0,0.019471899911649104
154,78,INTERMEDIATE,1,27.0,8.0,6.0,6.0,11.0,0.0,0.01,0.0,8.0,0.017131742189706284
155,78,COMPLETED,1,27.0,8.0,6.0,6.0,11.0,0.0,0.01,0.0,8.0,0.017131742189706284
156,79,INTERMEDIATE,1,29.0,5.0,4.0,7.0,12.0,1.0,0.01,0.0,4.0,0.01718004100461428
157,79,COMPLETED,1,29.0,5.0,4.0,7.0,12.0,1.0,0.01,0.0,4.0,0.01718004100461428
158,80,INTERMEDIATE,1,35.0,5.0,16.0,19.0,17.0,1.0,0.01,0.0,29.0,0.01906745297695994
159,80,COMPLETED,1,35.0,5.0,16.0,19.0,17.0,1.0,0.01,0.0,29.0,0.01906745297695994
160,81,INTERMEDIATE,1,29.0,5.0,9.0,9.0,16.0,0.0,0.01,0.0,14.0,0.017598089989740783
161,81,COMPLETED,1,29.0,5.0,9.0,9.0,16.0,0.0,0.01,0.0,14.0,0.017598089989740783
162,82,INTERMEDIATE,1,34.0,8.0,6.0,4.0,19.0,1.0,0.01,-1.0,12.0,0.01815914164110898
163,82,COMPLETED,1,34.0,8.0,6.0,4.0,19.0,1.0,0.01,-1.0,12.0,0.01815914164110898
164,83,INTERMEDIATE,1,30.0,6.0,7.0,11.0,16.0,0.0,0.01,-1.0,16.0,0.02456067549470659
165,83,COMPLETED,1,30.0,6.0,7.0,11.0,16.0,0.0,0.01,-1.0,16.0,0.02456067549470659
166,84,INTERMEDIATE,1,32.0,4.0,8.0,9.0,19.0,1.0,0.01,-1.0,13.0,0.017552198260061828
167,84,COMPLETED,1,32.0,4.0,8.0,9.0,19.0,1.0,0.01,-1.0,13.0,0.017552198260061828
168,85,INTERMEDIATE,1,36.0,3.0,8.0,4.0,17.0,1.0,0.01,0.0,13.0,0.01736919132713344
169,85,COMPLETED,1,36.0,3.0,8.0,4.0,17.0,1.0,0.01,0.0,13.0,0.01736919132713344
170,86,INTERMEDIATE,1,34.0,10.0,3.0,8.0,18.0,1.0,0.01,-1.0,10.0,0.053713434762944656
171,86,COMPLETED,1,34.0,10.0,3.0,8.0,18.0,1.0,0.01,-1.0,10.0,0.053713434762944656
172,87,INTERMEDIATE,1,25.0,6.0,8.0,6.0,12.0,1.0,0.01,0.0,11.0,0.016361021140683423
173,87,COMPLETED,1,25.0,6.0,8.0,6.0,12.0,1.0,0.01,0.0,11.0,0.016361021140683423
174,88,INTERMEDIATE,1,36.0,7.0,5.0,4.0,19.0,0.0,0.01,-1.0,8.0,0.01678987707980328
175,88,COMPLETED,1,36.0,7.0,5.0,4.0,19.0,0.0,0.01,-1.0,8.0,0.01678987707980328
176,89,INTERMEDIATE,1,37.0,7.0,9.0,5.0,18.0,0.0,0.01,0.0,13.0,0.016112815094540232
177,89,COMPLETED,1,37.0,7.0,9.0,5.0,18.0,0.0,0.01,0.0,13.0,0.016112815094540232
178,90,INTERMEDIATE,1,26.0,6.0,8.0,7.0,14.0,0.0,0.01,-1.0,8.0,0.027084183943104446
179,90,COMPLETED,1,26.0,6.0,8.0,7.0,14.0,0.0,0.01,-1.0,8.0,0.027084183943104446
180,91,INTERMEDIATE,1,33.0,8.0,8.0,4.0,17.0,0.0,0.01,-1.0,13.0,0.019751599187126264
181,91,COMPLETED,1,33.0,8.0,8.0,4.0,17.0,0.0,0.01,-1.0,13.0,0.019751599187126264
182,92,INTERMEDIATE,1,35.0,7.0,7.0,6.0,18.0,0.0,0.01,0.0,12.0,0.01619184100072745
183,92,COMPLETED,1,35.0,7.0,7.0,6.0,18.0,0.0,0.01,0.0,12.0,0.01619184100072745
184,93,INTERMEDIATE,1,28.0,5.0,3.0,7.0,16.0,1.0,0.01,0.0,5.0,0.018257239641424887
185,93,COMPLETED,1,28.0,5.0,3.0,7.0,16.0,1.0,0.01,0.0,5.0,0.018257239641424887
186,94,INTERMEDIATE,1,28.0,7.0,4.0,9.0,11.0,0.0,0.01,-1.0,3.0,0.05349803460802049
187,94,COMPLETED,1,28.0,7.0,4.0,9.0,11.0,0.0,0.01,-1.0,3.0,0.05349803460802049
188,95,INTERMEDIATE,1,38.0,6.0,8.0,6.0,14.0,1.0,0.01,0.0,15.0,0.017310258906512253
189,95,COMPLETED,1,38.0,6.0,8.0,6.0,14.0,1.0,0.01,0.0,15.0,0.017310258906512253
190,96,INTERMEDIATE,1,35.0,3.0,14.0,18.0,19.0,0.0,0.01,-1.0,25.0,0.017718334468875836
191,96,COMPLETED,1,35.0,3.0,14.0,18.0,19.0,0.0,0.01,-1.0,25.0,0.017718334468875836
192,97,INTERMEDIATE,1,29.0,11.0,5.0,6.0,12.0,0.0,0.01,0.0,8.0,0.01786712838901845
193,97,COMPLETED,1,29.0,11.0,5.0,6.0,12.0,0.0,0.01,0.0,8.0,0.01786712838901845
194,98,INTERMEDIATE,1,33.0,6.0,7.0,8.0,19.0,1.0,0.01,-1.0,14.0,0.016944866592074965
195,98,COMPLETED,1,33.0,6.0,7.0,8.0,19.0,1.0,0.01,-1.0,14.0,0.016944866592074965
196,99,INTERMEDIATE,1,30.0,3.0,11.0,11.0,17.0,0.0,0.01,-1.0,12.0,0.02224904233360721
197,99,COMPLETED,1,30.0,3.0,11.0,11.0,17.0,0.0,0.01,-1.0,12.0,0.02224904233360721
198,100,INTERMEDIATE,1,38.0,11.0,6.0,3.0,17.0,0.0,0.01,0.0,11.0,0.017121642377328692
199,100,COMPLETED,1,38.0,11.0,6.0,3.0,17.0,0.0,0.01,0.0,11.0,0.017121642377328692
