,Trial-ID,Status,Iteration,hidden1,hidden2,hidden_pm,hidden_tooth,hidden_winding,hidden_yoke,input_rec,lr,output_rec,window,Objective
335,168,COMPLETED,1,31.0,11.0,9.0,14.0,5.0,7.0,0.0,0.001,1.0,4.0,195.2779842838645
336,169,INTERMEDIATE,1,14.0,30.0,16.0,9.0,8.0,14.0,0.0,0.001,0.0,3.0,195.63467301707715
337,169,COMPLETED,1,14.0,30.0,16.0,9.0,8.0,14.0,0.0,0.001,0.0,3.0,195.63467301707715
338,170,INTERMEDIATE,1,40.0,21.0,9.0,18.0,10.0,8.0,0.0,0.001,1.0,4.0,216.36406395584345
339,170,COMPLETED,1,40.0,21.0,9.0,18.0,10.0,8.0,0.0,0.001,1.0,4.0,216.36406395584345
340,171,INTERMEDIATE,1,11.0,32.0,18.0,5.0,9.0,13.0,0.0,0.001,0.0,8.0,291.6799866575748
341,171,COMPLETED,1,11.0,32.0,18.0,5.0,9.0,13.0,0.0,0.001,0.0,8.0,291.6799866575748
342,172,INTERMEDIATE,1,14.0,31.0,18.0,9.0,9.0,12.0,1.0,0.001,0.0,4.0,184.79026071168482
343,172,COMPLETED,1,14.0,31.0,18.0,9.0,9.0,12.0,1.0,0.001,0.0,4.0,184.79026071168482
344,173,INTERMEDIATE,1,36.0,36.0,4.0,15.0,16.0,5.0,1.0,0.001,1.0,1.0,213.88160698115826
345,173,COMPLETED,1,36.0,36.0,4.0,15.0,16.0,5.0,1.0,0.001,1.0,1.0,213.88160698115826
346,174,INTERMEDIATE,1,10.0,30.0,15.0,5.0,8.0,6.0,1.0,0.001,1.0,5.0,202.63572301715612
347,174,COMPLETED,1,10.0,30.0,15.0,5.0,8.0,6.0,1.0,0.001,1.0,5.0,202.63572301715612
348,175,INTERMEDIATE,1,43.0,43.0,6.0,18.0,6.0,18.0,1.0,0.001,1.0,4.0,232.75954218860716
349,175,COMPLETED,1,43.0,43.0,6.0,18.0,6.0,18.0,1.0,0.001,1.0,4.0,232.75954218860716
350,176,INTERMEDIATE,1,11.0,21.0,17.0,9.0,8.0,18.0,0.0,0.001,0.0,5.0,215.7034210935235
351,176,COMPLETED,1,11.0,21.0,17.0,9.0,8.0,18.0,0.0,0.001,0.0,5.0,215.7034210935235
352,177,INTERMEDIATE,1,16.0,29.0,19.0,4.0,5.0,10.0,1.0,0.001,0.0,6.0,219.1326812915504
353,177,COMPLETED,1,16.0,29.0,19.0,4.0,5.0,10.0,1.0,0.001,0.0,6.0,219.1326812915504
354,178,INTERMEDIATE,1,42.0,18.0,10.0,8.0,9.0,17.0,1.0,0.001,0.0,6.0,270.48576132953167
355,178,COMPLETED,1,42.0,18.0,10.0,8.0,9.0,17.0,1.0,0.001,0.0,6.0,270.48576132953167
356,179,INTERMEDIATE,1,11.0,32.0,14.0,4.0,7.0,5.0,0.0,0.001,1.0,4.0,205.15703487209976
357,179,COMPLETED,1,11.0,32.0,14.0,4.0,7.0,5.0,0.0,0.001,1.0,4.0,205.15703487209976
358,180,INTERMEDIATE,1,44.0,43.0,7.0,15.0,18.0,5.0,0.0,0.001,0.0,6.0,296.7937206942588
359,180,COMPLETED,1,44.0,43.0,7.0,15.0,18.0,5.0,0.0,0.001,0.0,6.0,296.7937206942588
360,181,INTERMEDIATE,1,37.0,33.0,5.0,15.0,12.0,6.0,0.0,0.001,0.0,3.0,239.59607895463705
361,181,COMPLETED,1,37.0,33.0,5.0,15.0,12.0,6.0,0.0,0.001,0.0,3.0,239.59607895463705
362,182,INTERMEDIATE,1,44.0,11.0,8.0,17.0,12.0,8.0,1.0,0.001,0.0,7.0,322.54915660619736
363,182,COMPLETED,1,44.0,11.0,8.0,17.0,12.0,8.0,1.0,0.001,0.0,7.0,322.54915660619736
364,183,INTERMEDIATE,1,44.0,41.0,10.0,18.0,18.0,7.0,0.0,0.001,0.0,5.0,225.20951975136995
365,183,COMPLETED,1,44.0,41.0,10.0,18.0,18.0,7.0,0.0,0.001,0.0,5.0,225.20951975136995
366,184,INTERMEDIATE,1,16.0,40.0,7.0,9.0,8.0,6.0,1.0,0.001,1.0,7.0,196.54015703545883
367,184,COMPLETED,1,16.0,40.0,7.0,9.0,8.0,6.0,1.0,0.001,1.0,7.0,196.54015703545883
368,185,INTERMEDIATE,1,36.0,37.0,7.0,19.0,17.0,4.0,0.0,0.001,1.0,2.0,250.85212413407862
369,185,COMPLETED,1,36.0,37.0,7.0,19.0,17.0,4.0,0.0,0.001,1.0,2.0,250.85212413407862
370,186,INTERMEDIATE,1,38.0,22.0,8.0,16.0,11.0,8.0,1.0,0.001,0.0,3.0,256.83878916502
371,186,COMPLETED,1,38.0,22.0,8.0,16.0,11.0,8.0,1.0,0.001,0.0,3.0,256.83878916502
372,187,INTERMEDIATE,1,11.0,31.0,17.0,5.0,6.0,8.0,0.0,0.001,0.0,6.0,203.22823453508317
373,187,COMPLETED,1,11.0,31.0,17.0,5.0,6.0,8.0,0.0,0.001,0.0,6.0,203.22823453508317
374,188,INTERMEDIATE,1,21.0,34.0,8.0,10.0,6.0,3.0,0.0,0.001,1.0,9.0,314.1295252032578
375,188,COMPLETED,1,21.0,34.0,8.0,10.0,6.0,3.0,0.0,0.001,1.0,9.0,314.1295252032578
376,189,INTERMEDIATE,1,16.0,34.0,15.0,3.0,6.0,11.0,1.0,0.001,0.0,4.0,176.0645922459662
377,189,COMPLETED,1,16.0,34.0,15.0,3.0,6.0,11.0,1.0,0.001,0.0,4.0,176.0645922459662
378,190,INTERMEDIATE,1,14.0,45.0,14.0,15.0,17.0,7.0,0.0,0.001,0.0,7.0,306.5225383415818
379,190,COMPLETED,1,14.0,45.0,14.0,15.0,17.0,7.0,0.0,0.001,0.0,7.0,306.5225383415818
380,191,INTERMEDIATE,1,12.0,27.0,18.0,9.0,10.0,14.0,0.0,0.001,0.0,2.0,234.41048130579293
381,191,COMPLETED,1,12.0,27.0,18.0,9.0,10.0,14.0,0.0,0.001,0.0,2.0,234.41048130579293
382,192,INTERMEDIATE,1,15.0,29.0,20.0,5.0,11.0,12.0,0.0,0.001,1.0,6.0,276.08904535043985
