,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr,lstm_hidden,Objective
131,66,COMPLETED,1,1024.0,31.0,43.0,0.004716438933109607,124.0,9.079231811358455e-05
132,67,INTERMEDIATE,1,2048.0,54.0,58.0,0.0038177267866977825,109.0,0.000145897542827459
133,67,COMPLETED,1,2048.0,54.0,58.0,0.0038177267866977825,109.0,0.000145897542827459
134,68,INTERMEDIATE,1,512.0,42.0,5.0,0.00315919252165137,135.0,9.876759644169054e-06
135,68,COMPLETED,1,512.0,42.0,5.0,0.00315919252165137,135.0,9.876759644169054e-06
136,69,INTERMEDIATE,1,512.0,28.0,40.0,0.004062934740875429,86.0,7.247907247505959e-06
137,69,COMPLETED,1,512.0,28.0,40.0,0.004062934740875429,86.0,7.247907247505959e-06
138,70,INTERMEDIATE,1,2048.0,55.0,3.0,0.0011042889731024321,58.0,0.051493429852648466
139,70,COMPLETED,1,2048.0,55.0,3.0,0.0011042889731024321,58.0,0.051493429852648466
140,71,INTERMEDIATE,1,512.0,40.0,63.0,0.003694218462269032,110.0,2.7865063290611526e-05
141,71,COMPLETED,1,512.0,40.0,63.0,0.003694218462269032,110.0,2.7865063290611526e-05
142,72,INTERMEDIATE,1,512.0,25.0,21.0,0.0028154798575162044,44.0,4.121600151349642e-06
143,72,COMPLETED,1,512.0,25.0,21.0,0.0028154798575162044,44.0,4.121600151349642e-06
144,73,INTERMEDIATE,1,2048.0,32.0,34.0,0.0037993529665366036,128.0,1.5195668246572262e-05
145,73,COMPLETED,1,2048.0,32.0,34.0,0.0037993529665366036,128.0,1.5195668246572262e-05
146,74,INTERMEDIATE,1,512.0,22.0,15.0,0.00368339584771362,84.0,3.169787699214937e-05
147,74,COMPLETED,1,512.0,22.0,15.0,0.00368339584771362,84.0,3.169787699214937e-05
148,75,INTERMEDIATE,1,2048.0,58.0,0.0,0.0016019829396601156,65.0,1.6180273855034977e-05
149,75,COMPLETED,1,2048.0,58.0,0.0,0.0016019829396601156,65.0,1.6180273855034977e-05
150,76,INTERMEDIATE,1,2048.0,21.0,50.0,0.0018018934233677262,51.0,3.594900891788347e-05
151,76,COMPLETED,1,2048.0,21.0,50.0,0.0018018934233677262,51.0,3.594900891788347e-05
152,77,INTERMEDIATE,1,2048.0,43.0,13.0,0.0025460055423091824,71.0,2.3900332537767526e-05
153,77,COMPLETED,1,2048.0,43.0,13.0,0.0025460055423091824,71.0,2.3900332537767526e-05
154,78,INTERMEDIATE,1,2048.0,29.0,8.0,0.0012501642537279729,48.0,2.405758465007183e-05
155,78,COMPLETED,1,2048.0,29.0,8.0,0.0012501642537279729,48.0,2.405758465007183e-05
156,79,INTERMEDIATE,1,1024.0,51.0,36.0,0.0013476720687435758,115.0,1.4328364554466993e-05
157,79,COMPLETED,1,1024.0,51.0,36.0,0.0013476720687435758,115.0,1.4328364554466993e-05
158,80,INTERMEDIATE,1,2048.0,46.0,55.0,0.0029523603308353004,42.0,0.00020167255999310385
159,80,COMPLETED,1,2048.0,46.0,55.0,0.0029523603308353004,42.0,0.00020167255999310385
160,81,INTERMEDIATE,1,512.0,62.0,59.0,0.003968234349492091,84.0,4.075037870667776e-05
161,81,COMPLETED,1,512.0,62.0,59.0,0.003968234349492091,84.0,4.075037870667776e-05
162,82,INTERMEDIATE,1,2048.0,63.0,57.0,0.003987374344759841,136.0,0.0001054487038501142
163,82,COMPLETED,1,2048.0,63.0,57.0,0.003987374344759841,136.0,0.0001054487038501142
164,83,INTERMEDIATE,1,1024.0,20.0,42.0,0.004471130593878218,44.0,5.447378629901561e-06
165,83,COMPLETED,1,1024.0,20.0,42.0,0.004471130593878218,44.0,5.447378629901561e-06
166,84,INTERMEDIATE,1,2048.0,33.0,5.0,0.004877697837576533,124.0,0.03286881467176944
167,84,COMPLETED,1,2048.0,33.0,5.0,0.004877697837576533,124.0,0.03286881467176944
168,85,INTERMEDIATE,1,512.0,50.0,36.0,0.0021889101496663757,53.0,5.578418950954745e-05
169,85,COMPLETED,1,512.0,50.0,36.0,0.0021889101496663757,53.0,5.578418950954745e-05
170,86,INTERMEDIATE,1,512.0,49.0,54.0,0.0015444438778072077,100.0,2.675376317688642e-05
171,86,COMPLETED,1,512.0,49.0,54.0,0.0015444438778072077,100.0,2.675376317688642e-05
172,87,INTERMEDIATE,1,512.0,21.0,0.0,0.003533652746237365,109.0,1.2548111957452785e-05
173,87,COMPLETED,1,512.0,21.0,0.0,0.003533652746237365,109.0,1.2548111957452785e-05
174,88,INTERMEDIATE,1,2048.0,57.0,29.0,0.004662915948708324,71.0,3.617350810417248e-05
175,88,COMPLETED,1,2048.0,57.0,29.0,0.004662915948708324,71.0,3.617350810417248e-05
176,89,INTERMEDIATE,1,1024.0,31.0,16.0,0.002909410687658605,45.0,8.794654817163093e-05
177,89,COMPLETED,1,1024.0,31.0,16.0,0.002909410687658605,45.0,8.794654817163093e-05
178,90,INTERMEDIATE,1,512.0,48.0,14.0,0.002358698740572195,56.0,3.229152894124336e-05
179,90,COMPLETED,1,512.0,48.0,14.0,0.002358698740572195,56.0,3.229152894124336e-05
180,91,INTERMEDIATE,1,1024.0,53.0,58.0,0.0035908440366334993,109.0,3.5492110902661835e-06
181,91,COMPLETED,1,1024.0,53.0,58.0,0.0035908440366334993,109.0,3.5492110902661835e-06
182,92,INTERMEDIATE,1,512.0,32.0,11.0,0.004902951883353417,59.0,0.032865765684900385
183,92,COMPLETED,1,512.0,32.0,11.0,0.004902951883353417,59.0,0.032865765684900385
184,93,INTERMEDIATE,1,512.0,51.0,24.0,0.0014932047673322784,118.0,1.1674635320866901e-05
185,93,COMPLETED,1,512.0,51.0,24.0,0.0014932047673322784,118.0,1.1674635320866901e-05
186,94,INTERMEDIATE,1,512.0,36.0,53.0,0.004439438451884804,54.0,5.1967540512485754e-05
187,94,COMPLETED,1,512.0,36.0,53.0,0.004439438451884804,54.0,5.1967540512485754e-05
188,95,INTERMEDIATE,1,512.0,20.0,1.0,0.004048079102705837,108.0,0.03285282384835932
189,95,COMPLETED,1,512.0,20.0,1.0,0.004048079102705837,108.0,0.03285282384835932
190,96,INTERMEDIATE,1,512.0,31.0,16.0,0.003700302157241297,45.0,0.00011306292304419564
191,96,COMPLETED,1,512.0,31.0,16.0,0.003700302157241297,45.0,0.00011306292304419564
192,97,INTERMEDIATE,1,512.0,36.0,54.0,0.0009957950038271685,56.0,7.249969716902016e-06
193,97,COMPLETED,1,512.0,36.0,54.0,0.0009957950038271685,56.0,7.249969716902016e-06
194,98,INTERMEDIATE,1,512.0,62.0,49.0,0.00399106182482738,75.0,3.2437986936911967e-06
195,98,COMPLETED,1,512.0,62.0,49.0,0.00399106182482738,75.0,3.2437986936911967e-06
196,99,INTERMEDIATE,1,2048.0,31.0,51.0,0.0029658789598175444,92.0,2.2698375935618757e-05
197,99,COMPLETED,1,2048.0,31.0,51.0,0.0029658789598175444,92.0,2.2698375935618757e-05
198,100,INTERMEDIATE,1,1024.0,46.0,14.0,0.0007177619427480627,47.0,2.1582323250150626e-05
199,100,COMPLETED,1,1024.0,46.0,14.0,0.0007177619427480627,47.0,2.1582323250150626e-05
