,Trial-ID,Status,Iteration,batch_size,gru_hidden,hidden_unit1,hidden_unit2,lr,Objective
122,62,INTERMEDIATE,1,512.0,40.0,64.0,37.0,0.05,0.03285920081474672
123,62,COMPLETED,1,512.0,40.0,64.0,37.0,0.05,0.03285920081474672
124,63,INTERMEDIATE,1,2048.0,56.0,64.0,37.0,0.030144595971584046,9.441700469500444e-06
125,63,COMPLETED,1,2048.0,56.0,64.0,37.0,0.030144595971584046,9.441700469500444e-06
126,64,INTERMEDIATE,1,2048.0,54.0,62.0,48.0,0.02152377175347617,0.00037833425629715415
127,64,COMPLETED,1,2048.0,54.0,62.0,48.0,0.02152377175347617,0.00037833425629715415
128,65,INTERMEDIATE,1,2048.0,46.0,54.0,57.0,0.05,4.3566767552198194e-05
129,65,COMPLETED,1,2048.0,46.0,54.0,57.0,0.05,4.3566767552198194e-05
130,66,INTERMEDIATE,1,2048.0,43.0,40.0,48.0,0.05,0.002867381956697101
131,66,COMPLETED,1,2048.0,43.0,40.0,48.0,0.05,0.002867381956697101
132,67,INTERMEDIATE,1,2048.0,38.0,64.0,62.0,0.009195227167305866,0.0001348628210442052
133,67,COMPLETED,1,2048.0,38.0,64.0,62.0,0.009195227167305866,0.0001348628210442052
134,68,INTERMEDIATE,1,512.0,37.0,28.0,29.0,0.005,1.7050376176981496e-05
135,68,COMPLETED,1,512.0,37.0,28.0,29.0,0.005,1.7050376176981496e-05
136,69,INTERMEDIATE,1,2048.0,24.0,25.0,26.0,0.05,0.0006397772313139969
137,69,COMPLETED,1,2048.0,24.0,25.0,26.0,0.05,0.0006397772313139969
138,70,INTERMEDIATE,1,512.0,71.0,50.0,35.0,0.005,9.146022960377454e-06
139,70,COMPLETED,1,512.0,71.0,50.0,35.0,0.005,9.146022960377454e-06
140,71,INTERMEDIATE,1,512.0,33.0,34.0,18.0,0.027853066791862453,9.478347082989383e-06
141,71,COMPLETED,1,512.0,33.0,34.0,18.0,0.027853066791862453,9.478347082989383e-06
142,72,INTERMEDIATE,1,2048.0,47.0,64.0,16.0,0.03987530080179907,7.864151387584324e-06
143,72,COMPLETED,1,2048.0,47.0,64.0,16.0,0.03987530080179907,7.864151387584324e-06
144,73,INTERMEDIATE,1,2048.0,41.0,22.0,16.0,0.05,5.249494315397882e-05
145,73,COMPLETED,1,2048.0,41.0,22.0,16.0,0.05,5.249494315397882e-05
146,74,INTERMEDIATE,1,512.0,49.0,25.0,25.0,0.005,3.4121173259007738e-06
147,74,COMPLETED,1,512.0,49.0,25.0,25.0,0.005,3.4121173259007738e-06
148,75,INTERMEDIATE,1,2048.0,52.0,16.0,16.0,0.005,2.3570469544814918e-05
149,75,COMPLETED,1,2048.0,52.0,16.0,16.0,0.005,2.3570469544814918e-05
150,76,INTERMEDIATE,1,2048.0,42.0,16.0,27.0,0.05,6.958857587338734e-06
151,76,COMPLETED,1,2048.0,42.0,16.0,27.0,0.05,6.958857587338734e-06
152,77,INTERMEDIATE,1,512.0,32.0,16.0,21.0,0.005,5.8332711712761635e-06
153,77,COMPLETED,1,512.0,32.0,16.0,21.0,0.005,5.8332711712761635e-06
154,78,INTERMEDIATE,1,1024.0,80.0,47.0,41.0,0.05,0.002240125864689541
155,78,COMPLETED,1,1024.0,80.0,47.0,41.0,0.05,0.002240125864689541
156,79,INTERMEDIATE,1,512.0,38.0,16.0,6.0,0.005,4.036901564120632e-06
157,79,COMPLETED,1,512.0,38.0,16.0,6.0,0.005,4.036901564120632e-06
158,80,INTERMEDIATE,1,2048.0,30.0,25.0,11.0,0.005,1.5131705497967683e-05
159,80,COMPLETED,1,2048.0,30.0,25.0,11.0,0.005,1.5131705497967683e-05
160,81,INTERMEDIATE,1,1024.0,32.0,16.0,33.0,0.05,9.265737409398189e-06
161,81,COMPLETED,1,1024.0,32.0,16.0,33.0,0.05,9.265737409398189e-06
162,82,INTERMEDIATE,1,1024.0,42.0,26.0,4.0,0.05,0.00017797135112426532
163,82,COMPLETED,1,1024.0,42.0,26.0,4.0,0.05,0.00017797135112426532
164,83,INTERMEDIATE,1,1024.0,52.0,25.0,11.0,0.05,1.3303879633054182e-05
165,83,COMPLETED,1,1024.0,52.0,25.0,11.0,0.05,1.3303879633054182e-05
166,84,INTERMEDIATE,1,1024.0,55.0,16.0,30.0,0.05,2.310953576644822e-05
167,84,COMPLETED,1,1024.0,55.0,16.0,30.0,0.05,2.310953576644822e-05
168,85,INTERMEDIATE,1,1024.0,61.0,23.0,22.0,0.05,0.0022650964978009557
169,85,COMPLETED,1,1024.0,61.0,23.0,22.0,0.05,0.0022650964978009557
170,86,INTERMEDIATE,1,1024.0,46.0,16.0,38.0,0.005,4.3484773051503385e-05
171,86,COMPLETED,1,1024.0,46.0,16.0,38.0,0.005,4.3484773051503385e-05
172,87,INTERMEDIATE,1,1024.0,54.0,51.0,46.0,0.05,7.26711493775971e-05
173,87,COMPLETED,1,1024.0,54.0,51.0,46.0,0.05,7.26711493775971e-05
174,88,INTERMEDIATE,1,1024.0,48.0,35.0,29.0,0.05,0.00015138123503197616
175,88,COMPLETED,1,1024.0,48.0,35.0,29.0,0.05,0.00015138123503197616
176,89,INTERMEDIATE,1,512.0,80.0,64.0,19.0,0.005,1.017889034922634e-05
177,89,COMPLETED,1,512.0,80.0,64.0,19.0,0.005,1.017889034922634e-05
178,90,INTERMEDIATE,1,512.0,30.0,23.0,0.0,0.05,0.00014978231043296088
179,90,COMPLETED,1,512.0,30.0,23.0,0.0,0.05,0.00014978231043296088
180,91,INTERMEDIATE,1,512.0,32.0,34.0,5.0,0.05,5.038721069632537e-05
181,91,COMPLETED,1,512.0,32.0,34.0,5.0,0.05,5.038721069632537e-05
182,92,INTERMEDIATE,1,512.0,22.0,34.0,13.0,0.05,8.395749698555485e-06
183,92,COMPLETED,1,512.0,22.0,34.0,13.0,0.05,8.395749698555485e-06
184,93,INTERMEDIATE,1,2048.0,67.0,64.0,64.0,0.05,8.520947376570787e-05
185,93,COMPLETED,1,2048.0,67.0,64.0,64.0,0.05,8.520947376570787e-05
186,94,INTERMEDIATE,1,2048.0,73.0,54.0,64.0,0.030819514225569836,0.00040655139204765053
187,94,COMPLETED,1,2048.0,73.0,54.0,64.0,0.030819514225569836,0.00040655139204765053
