,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride3,Objective
140,71,INTERMEDIATE,1,256.0,182.0,153.0,1.0,2.0,1.0,1.0,0.01391555244387275,133.0,110.0,2.0,1.0,0.0010429463507065258
141,71,COMPLETED,1,256.0,182.0,153.0,1.0,2.0,1.0,1.0,0.01391555244387275,133.0,110.0,2.0,1.0,0.0010429463507065258
142,72,INTERMEDIATE,1,2048.0,469.0,70.0,1.0,2.0,1.0,1.0,0.04817060079215714,148.0,54.0,2.0,2.0,0.042785107765832914
143,72,COMPLETED,1,2048.0,469.0,70.0,1.0,2.0,1.0,1.0,0.04817060079215714,148.0,54.0,2.0,2.0,0.042785107765832914
144,73,INTERMEDIATE,1,1024.0,39.0,167.0,1.0,2.0,2.0,2.0,0.012804818911609844,22.0,155.0,2.0,2.0,0.0036829494539173395
145,73,COMPLETED,1,1024.0,39.0,167.0,1.0,2.0,2.0,2.0,0.012804818911609844,22.0,155.0,2.0,2.0,0.0036829494539173395
146,74,INTERMEDIATE,1,2048.0,198.0,318.0,1.0,1.0,1.0,1.0,0.008472508900919554,85.0,42.0,2.0,1.0,0.0008875679507323115
147,74,COMPLETED,1,2048.0,198.0,318.0,1.0,1.0,1.0,1.0,0.008472508900919554,85.0,42.0,2.0,1.0,0.0008875679507323115
148,75,INTERMEDIATE,1,1024.0,187.0,133.0,1.0,2.0,2.0,2.0,0.009698224336978518,86.0,132.0,2.0,1.0,0.0012675643259645194
149,75,COMPLETED,1,1024.0,187.0,133.0,1.0,2.0,2.0,2.0,0.009698224336978518,86.0,132.0,2.0,1.0,0.0012675643259645194
150,76,INTERMEDIATE,1,512.0,409.0,298.0,1.0,2.0,2.0,2.0,0.02281683383226365,76.0,71.0,1.0,1.0,0.050109241864049
151,76,COMPLETED,1,512.0,409.0,298.0,1.0,2.0,2.0,2.0,0.02281683383226365,76.0,71.0,1.0,1.0,0.050109241864049
152,77,INTERMEDIATE,1,1024.0,194.0,291.0,2.0,2.0,2.0,1.0,0.016870194634268844,180.0,147.0,2.0,2.0,0.0007222243918353039
153,77,COMPLETED,1,1024.0,194.0,291.0,2.0,2.0,2.0,1.0,0.016870194634268844,180.0,147.0,2.0,2.0,0.0007222243918353039
154,78,INTERMEDIATE,1,1024.0,319.0,288.0,1.0,1.0,2.0,2.0,0.04039558051245529,62.0,17.0,2.0,1.0,0.008264537930399728
155,78,COMPLETED,1,1024.0,319.0,288.0,1.0,1.0,2.0,2.0,0.04039558051245529,62.0,17.0,2.0,1.0,0.008264537930399728
156,79,INTERMEDIATE,1,512.0,472.0,87.0,2.0,2.0,2.0,1.0,0.04153300463885248,82.0,44.0,2.0,1.0,0.050311463001843346
157,79,COMPLETED,1,512.0,472.0,87.0,2.0,2.0,2.0,1.0,0.04153300463885248,82.0,44.0,2.0,1.0,0.050311463001843346
158,80,INTERMEDIATE,1,512.0,408.0,317.0,1.0,2.0,1.0,2.0,0.01615891462564185,51.0,112.0,1.0,1.0,0.0005566242341717045
159,80,COMPLETED,1,512.0,408.0,317.0,1.0,2.0,1.0,2.0,0.01615891462564185,51.0,112.0,1.0,1.0,0.0005566242341717045
160,81,INTERMEDIATE,1,256.0,419.0,456.0,2.0,2.0,2.0,2.0,0.010394238544989968,96.0,19.0,2.0,1.0,0.00025919868670914824
161,81,COMPLETED,1,256.0,419.0,456.0,2.0,2.0,2.0,2.0,0.010394238544989968,96.0,19.0,2.0,1.0,0.00025919868670914824
162,82,INTERMEDIATE,1,1024.0,52.0,148.0,1.0,1.0,1.0,1.0,0.033949393320662394,50.0,97.0,1.0,1.0,0.0001039057340214472
163,82,COMPLETED,1,1024.0,52.0,148.0,1.0,1.0,1.0,1.0,0.033949393320662394,50.0,97.0,1.0,1.0,0.0001039057340214472
164,83,INTERMEDIATE,1,256.0,464.0,107.0,2.0,1.0,2.0,2.0,5e-05,74.0,44.0,1.0,1.0,3.469943854246795e-05
165,83,COMPLETED,1,256.0,464.0,107.0,2.0,1.0,2.0,2.0,5e-05,74.0,44.0,1.0,1.0,3.469943854246795e-05
166,84,INTERMEDIATE,1,1024.0,248.0,236.0,1.0,2.0,2.0,2.0,0.019854505754511066,103.0,55.0,2.0,2.0,0.0023799405777596766
167,84,COMPLETED,1,1024.0,248.0,236.0,1.0,2.0,2.0,2.0,0.019854505754511066,103.0,55.0,2.0,2.0,0.0023799405777596766
168,85,INTERMEDIATE,1,1024.0,145.0,83.0,1.0,2.0,2.0,1.0,0.036553702484470194,197.0,99.0,1.0,2.0,0.001264078879076836
169,85,COMPLETED,1,1024.0,145.0,83.0,1.0,2.0,2.0,1.0,0.036553702484470194,197.0,99.0,1.0,2.0,0.001264078879076836
170,86,INTERMEDIATE,1,2048.0,396.0,328.0,1.0,1.0,1.0,1.0,5e-05,134.0,64.0,1.0,1.0,8.013856159504168e-05
171,86,COMPLETED,1,2048.0,396.0,328.0,1.0,1.0,1.0,1.0,5e-05,134.0,64.0,1.0,1.0,8.013856159504168e-05
172,87,INTERMEDIATE,1,512.0,240.0,244.0,1.0,2.0,2.0,1.0,0.04816551697185007,99.0,57.0,2.0,2.0,0.050964245073169726
173,87,COMPLETED,1,512.0,240.0,244.0,1.0,2.0,2.0,1.0,0.04816551697185007,99.0,57.0,2.0,2.0,0.050964245073169726
174,88,INTERMEDIATE,1,1024.0,495.0,266.0,1.0,1.0,1.0,1.0,0.013714065305433383,127.0,82.0,1.0,1.0,3.298090550971595e-05
175,88,COMPLETED,1,1024.0,495.0,266.0,1.0,1.0,1.0,1.0,0.013714065305433383,127.0,82.0,1.0,1.0,3.298090550971595e-05
176,89,INTERMEDIATE,1,1024.0,249.0,238.0,1.0,1.0,1.0,2.0,5e-05,108.0,48.0,1.0,1.0,0.00014348981761413455
177,89,COMPLETED,1,1024.0,249.0,238.0,1.0,1.0,1.0,2.0,5e-05,108.0,48.0,1.0,1.0,0.00014348981761413455
178,90,INTERMEDIATE,1,2048.0,92.0,399.0,2.0,1.0,2.0,2.0,0.023777092664428272,23.0,136.0,2.0,1.0,0.002833524629307444
