,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride3,Objective
71,36,COMPLETED,1,256.0,39.0,35.0,1.0,1.0,1.0,1.0,5e-05,16.0,80.0,1.0,1.0,8.064774611607436e-06
72,37,INTERMEDIATE,1,1024.0,10.0,29.0,1.0,1.0,1.0,1.0,0.05,56.0,22.0,1.0,1.0,1.5078508298036752e-05
73,37,COMPLETED,1,1024.0,10.0,29.0,1.0,1.0,1.0,1.0,0.05,56.0,22.0,1.0,1.0,1.5078508298036752e-05
74,38,INTERMEDIATE,1,512.0,24.0,21.0,2.0,1.0,1.0,2.0,0.006494485331340145,72.0,40.0,2.0,2.0,0.018592100297111582
75,38,COMPLETED,1,512.0,24.0,21.0,2.0,1.0,1.0,2.0,0.006494485331340145,72.0,40.0,2.0,2.0,0.018592100297111582
76,39,INTERMEDIATE,1,1024.0,14.0,20.0,1.0,1.0,1.0,1.0,0.016978401172845443,66.0,19.0,1.0,1.0,8.216098438080892e-06
77,39,COMPLETED,1,1024.0,14.0,20.0,1.0,1.0,1.0,1.0,0.016978401172845443,66.0,19.0,1.0,1.0,8.216098438080892e-06
78,40,INTERMEDIATE,1,1024.0,20.0,41.0,1.0,1.0,1.0,1.0,0.05,73.0,23.0,1.0,1.0,0.0003080488572762481
79,40,COMPLETED,1,1024.0,20.0,41.0,1.0,1.0,1.0,1.0,0.05,73.0,23.0,1.0,1.0,0.0003080488572762481
80,41,INTERMEDIATE,1,2048.0,27.0,39.0,1.0,1.0,1.0,1.0,0.05,90.0,23.0,1.0,1.0,7.572311385724683e-06
81,41,COMPLETED,1,2048.0,27.0,39.0,1.0,1.0,1.0,1.0,0.05,90.0,23.0,1.0,1.0,7.572311385724683e-06
82,42,INTERMEDIATE,1,1024.0,21.0,32.0,1.0,2.0,2.0,1.0,5e-05,62.0,21.0,1.0,1.0,0.022025178597797863
83,42,COMPLETED,1,1024.0,21.0,32.0,1.0,2.0,2.0,1.0,5e-05,62.0,21.0,1.0,1.0,0.022025178597797863
84,43,INTERMEDIATE,1,1024.0,23.0,36.0,1.0,1.0,1.0,1.0,0.05,81.0,26.0,1.0,1.0,6.950040041692615e-05
85,43,COMPLETED,1,1024.0,23.0,36.0,1.0,1.0,1.0,1.0,0.05,81.0,26.0,1.0,1.0,6.950040041692615e-05
86,44,INTERMEDIATE,1,1024.0,10.0,33.0,1.0,1.0,1.0,1.0,0.05,47.0,29.0,1.0,1.0,0.033429783275317114
87,44,COMPLETED,1,1024.0,10.0,33.0,1.0,1.0,1.0,1.0,0.05,47.0,29.0,1.0,1.0,0.033429783275317114
88,45,INTERMEDIATE,1,256.0,35.0,35.0,1.0,1.0,1.0,1.0,0.0028351166582403936,23.0,87.0,1.0,1.0,7.694812403926678e-06
89,45,COMPLETED,1,256.0,35.0,35.0,1.0,1.0,1.0,1.0,0.0028351166582403936,23.0,87.0,1.0,1.0,7.694812403926678e-06
90,46,INTERMEDIATE,1,1024.0,16.0,17.0,1.0,1.0,1.0,1.0,0.03975850382004806,66.0,25.0,1.0,1.0,6.591765896692458e-06
