,Trial-ID,Status,Iteration,batch_size,conv1,conv2,conv3,conv6,h1,h2,lr,Objective
137,69,COMPLETED,1,512.0,2.0,3.0,4.0,4.0,22.0,26.0,0.010610069055558094,0.8544004948803665
138,70,INTERMEDIATE,1,1024.0,2.0,5.0,2.0,4.0,22.0,24.0,0.03417517346431837,0.9464336133531083
139,70,COMPLETED,1,1024.0,2.0,5.0,2.0,4.0,22.0,24.0,0.03417517346431837,0.9464336133531083
140,71,INTERMEDIATE,1,512.0,2.0,3.0,4.0,4.0,25.0,28.0,0.02948495606891378,0.8521004432736821
141,71,COMPLETED,1,512.0,2.0,3.0,4.0,4.0,25.0,28.0,0.02948495606891378,0.8521004432736821
142,72,INTERMEDIATE,1,1024.0,5.0,2.0,2.0,6.0,41.0,18.0,0.007791250824858703,0.7766595724726586
143,72,COMPLETED,1,1024.0,5.0,2.0,2.0,6.0,41.0,18.0,0.007791250824858703,0.7766595724726586
144,73,INTERMEDIATE,1,2048.0,5.0,2.0,5.0,2.0,54.0,50.0,0.031803126718756285,0.8194012539476387
145,73,COMPLETED,1,2048.0,5.0,2.0,5.0,2.0,54.0,50.0,0.031803126718756285,0.8194012539476387
146,74,INTERMEDIATE,1,2048.0,2.0,5.0,3.0,5.0,23.0,23.0,0.03568369390747989,0.8541384333524007
147,74,COMPLETED,1,2048.0,2.0,5.0,3.0,5.0,23.0,23.0,0.03568369390747989,0.8541384333524007
148,75,INTERMEDIATE,1,512.0,2.0,3.0,4.0,4.0,25.0,28.0,0.008468989031810058,0.911893704424249
149,75,COMPLETED,1,512.0,2.0,3.0,4.0,4.0,25.0,28.0,0.008468989031810058,0.911893704424249
150,76,INTERMEDIATE,1,1024.0,3.0,5.0,3.0,6.0,55.0,45.0,0.012106002353104153,1.008651504084425
151,76,COMPLETED,1,1024.0,3.0,5.0,3.0,6.0,55.0,45.0,0.012106002353104153,1.008651504084425
152,77,INTERMEDIATE,1,1024.0,3.0,5.0,4.0,5.0,23.0,24.0,0.03887486815198175,0.8649161458293534
153,77,COMPLETED,1,1024.0,3.0,5.0,4.0,5.0,23.0,24.0,0.03887486815198175,0.8649161458293534
