,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride2,stride3,stride4,Objective
93,47,COMPLETED,1,2048.0,35.0,18.0,1.0,1.0,1.0,1.0,0.011323526208526993,52.0,49.0,1.0,1.0,1.0,1.0,1.0061797156085732e-05
94,48,INTERMEDIATE,1,256.0,44.0,25.0,1.0,1.0,1.0,1.0,5e-05,63.0,46.0,1.0,1.0,1.0,1.0,1.08911758171809e-05
95,48,COMPLETED,1,256.0,44.0,25.0,1.0,1.0,1.0,1.0,5e-05,63.0,46.0,1.0,1.0,1.0,1.0,1.08911758171809e-05
96,49,INTERMEDIATE,1,2048.0,46.0,29.0,1.0,1.0,1.0,1.0,0.01108584817909299,83.0,59.0,1.0,1.0,1.0,1.0,8.117497263310676e-06
97,49,COMPLETED,1,2048.0,46.0,29.0,1.0,1.0,1.0,1.0,0.01108584817909299,83.0,59.0,1.0,1.0,1.0,1.0,8.117497263310676e-06
98,50,INTERMEDIATE,1,2048.0,46.0,22.0,1.0,1.0,1.0,1.0,0.021185293539162504,86.0,60.0,1.0,1.0,1.0,1.0,2.7576034244088977e-05
99,50,COMPLETED,1,2048.0,46.0,22.0,1.0,1.0,1.0,1.0,0.021185293539162504,86.0,60.0,1.0,1.0,1.0,1.0,2.7576034244088977e-05
100,51,INTERMEDIATE,1,256.0,49.0,29.0,1.0,1.0,1.0,1.0,5e-05,62.0,42.0,1.0,1.0,1.0,1.0,5.324738007617139e-06
101,51,COMPLETED,1,256.0,49.0,29.0,1.0,1.0,1.0,1.0,5e-05,62.0,42.0,1.0,1.0,1.0,1.0,5.324738007617139e-06
102,52,INTERMEDIATE,1,256.0,45.0,23.0,1.0,1.0,1.0,1.0,5e-05,69.0,44.0,1.0,1.0,1.0,1.0,6.575687071075631e-06
103,52,COMPLETED,1,256.0,45.0,23.0,1.0,1.0,1.0,1.0,5e-05,69.0,44.0,1.0,1.0,1.0,1.0,6.575687071075631e-06
104,53,INTERMEDIATE,1,256.0,50.0,37.0,1.0,1.0,1.0,1.0,5e-05,72.0,40.0,1.0,1.0,1.0,1.0,8.199280287932138e-06
105,53,COMPLETED,1,256.0,50.0,37.0,1.0,1.0,1.0,1.0,5e-05,72.0,40.0,1.0,1.0,1.0,1.0,8.199280287932138e-06
106,54,INTERMEDIATE,1,512.0,38.0,19.0,1.0,1.0,1.0,1.0,0.02424224958762684,62.0,45.0,1.0,1.0,1.0,1.0,2.6938542019053553e-05
107,54,COMPLETED,1,512.0,38.0,19.0,1.0,1.0,1.0,1.0,0.02424224958762684,62.0,45.0,1.0,1.0,1.0,1.0,2.6938542019053553e-05
108,55,INTERMEDIATE,1,512.0,39.0,32.0,1.0,1.0,1.0,1.0,0.03037672413198451,68.0,50.0,1.0,1.0,1.0,1.0,0.03283515226326853
109,55,COMPLETED,1,512.0,39.0,32.0,1.0,1.0,1.0,1.0,0.03037672413198451,68.0,50.0,1.0,1.0,1.0,1.0,0.03283515226326853
110,56,INTERMEDIATE,1,256.0,48.0,24.0,1.0,1.0,1.0,1.0,5e-05,65.0,44.0,1.0,1.0,1.0,1.0,5.6081745236795796e-06
111,56,COMPLETED,1,256.0,48.0,24.0,1.0,1.0,1.0,1.0,5e-05,65.0,44.0,1.0,1.0,1.0,1.0,5.6081745236795796e-06
112,57,INTERMEDIATE,1,2048.0,32.0,23.0,1.0,1.0,1.0,1.0,0.03173767898466868,52.0,47.0,1.0,1.0,1.0,1.0,1.449985735265733e-05
113,57,COMPLETED,1,2048.0,32.0,23.0,1.0,1.0,1.0,1.0,0.03173767898466868,52.0,47.0,1.0,1.0,1.0,1.0,1.449985735265733e-05
114,58,INTERMEDIATE,1,256.0,46.0,33.0,1.0,1.0,1.0,1.0,5e-05,88.0,63.0,1.0,1.0,1.0,1.0,6.703286539912486e-06
115,58,COMPLETED,1,256.0,46.0,33.0,1.0,1.0,1.0,1.0,5e-05,88.0,63.0,1.0,1.0,1.0,1.0,6.703286539912486e-06
116,59,INTERMEDIATE,1,512.0,44.0,32.0,1.0,1.0,1.0,1.0,0.05,69.0,55.0,1.0,1.0,1.0,1.0,0.032850779721203816
117,59,COMPLETED,1,512.0,44.0,32.0,1.0,1.0,1.0,1.0,0.05,69.0,55.0,1.0,1.0,1.0,1.0,0.032850779721203816
118,60,INTERMEDIATE,1,256.0,50.0,14.0,1.0,1.0,1.0,1.0,5e-05,70.0,44.0,1.0,1.0,1.0,1.0,1.0034806345583807e-05
119,60,COMPLETED,1,256.0,50.0,14.0,1.0,1.0,1.0,1.0,5e-05,70.0,44.0,1.0,1.0,1.0,1.0,1.0034806345583807e-05
120,61,INTERMEDIATE,1,2048.0,35.0,22.0,1.0,1.0,1.0,1.0,0.02383888748456022,52.0,48.0,1.0,1.0,1.0,1.0,4.343862752237022e-05
121,61,COMPLETED,1,2048.0,35.0,22.0,1.0,1.0,1.0,1.0,0.02383888748456022,52.0,48.0,1.0,1.0,1.0,1.0,4.343862752237022e-05
122,62,INTERMEDIATE,1,2048.0,47.0,26.0,1.0,1.0,1.0,1.0,0.017708919059328664,81.0,57.0,1.0,1.0,1.0,1.0,0.00038272335567739565
123,62,COMPLETED,1,2048.0,47.0,26.0,1.0,1.0,1.0,1.0,0.017708919059328664,81.0,57.0,1.0,1.0,1.0,1.0,0.00038272335567739565
124,63,INTERMEDIATE,1,256.0,50.0,32.0,1.0,1.0,1.0,1.0,5e-05,92.0,52.0,1.0,1.0,1.0,1.0,6.114648624053335e-06
125,63,COMPLETED,1,256.0,50.0,32.0,1.0,1.0,1.0,1.0,5e-05,92.0,52.0,1.0,1.0,1.0,1.0,6.114648624053335e-06
126,64,INTERMEDIATE,1,2048.0,47.0,25.0,1.0,1.0,1.0,1.0,0.016698714651813894,84.0,60.0,1.0,1.0,1.0,1.0,3.908306790657209e-05
127,64,COMPLETED,1,2048.0,47.0,25.0,1.0,1.0,1.0,1.0,0.016698714651813894,84.0,60.0,1.0,1.0,1.0,1.0,3.908306790657209e-05
128,65,INTERMEDIATE,1,256.0,45.0,26.0,1.0,1.0,1.0,1.0,5e-05,66.0,45.0,1.0,1.0,1.0,1.0,7.040735749209926e-06
